iter	Passed	Remaining
0	47	37594
1	90	36203
2	136	36160
3	179	35760
4	222	35442
5	266	35221
6	308	34920
7	352	34853
8	394	34666
9	435	34410
10	474	34033
11	519	34107
12	561	33983
13	599	33663
14	637	33337
15	674	33058
16	711	32790
17	749	32573
18	787	32387
19	831	32410
20	870	32274
21	905	32022
22	944	31923
23	982	31758
24	1020	31645
25	1063	31663
26	1102	31566
27	1136	31329
28	1183	31468
29	1217	31238
30	1264	31361
31	1295	31088
32	1331	30941
33	1367	30799
34	1402	30645
35	1444	30661
36	1484	30602
37	1524	30561
38	1556	30366
39	1590	30225
40	1624	30081
41	1658	29936
42	1693	29819
43	1730	29731
44	1768	29674
45	1813	29727
46	1857	29763
47	1893	29665
48	1930	29586
49	1975	29631
50	2020	29674
51	2056	29582
52	2093	29501
53	2127	29389
54	2167	29354
55	2213	29404
56	2251	29348
57	2298	29411
58	2342	29424
59	2386	29429
60	2422	29345
61	2470	29402
62	2513	29404
63	2555	29388
64	2591	29303
65	2631	29262
66	2665	29163
67	2706	29130
68	2740	29033
69	2780	28999
70	2820	28964
71	2865	28972
72	2911	28993
73	2950	28944
74	2987	28874
75	3035	28920
76	3071	28838
77	3113	28815
78	3152	28774
79	3196	28764
80	3232	28689
81	3267	28606
82	3304	28543
83	3340	28477
84	3379	28426
85	3427	28455
86	3467	28420
87	3509	28397
88	3540	28283
89	3580	28244
90	3619	28202
91	3661	28180
92	3708	28194
93	3751	28175
94	3784	28086
95	3825	28054
96	3860	27979
97	3892	27885
98	3930	27829
99	3967	27769
100	4015	27788
101	4048	27701
102	4084	27638
103	4127	27621
104	4164	27565
105	4209	27559
106	4254	27552
107	4292	27502
108	4326	27427
109	4370	27412
110	4409	27368
111	4455	27368
112	4492	27311
113	4542	27334
114	4582	27294
115	4616	27219
116	4659	27198
117	4705	27198
118	4748	27176
119	4789	27139
120	4824	27072
121	4871	27075
122	4911	27031
123	4954	27007
124	4992	26961
125	5027	26894
126	5067	26853
127	5107	26816
128	5155	26818
129	5194	26770
130	5236	26743
131	5271	26675
132	5318	26672
133	5357	26626
134	5398	26594
135	5435	26538
136	5474	26494
137	5511	26439
138	5545	26371
139	5585	26329
140	5625	26290
141	5670	26276
142	5718	26271
143	5753	26211
144	5795	26177
145	5837	26149
146	5875	26101
147	5916	26066
148	5954	26015
149	5995	25979
150	6040	25961
151	6073	25894
152	6110	25840
153	6148	25791
154	6197	25790
155	6238	25752
156	6276	25707
157	6316	25666
158	6361	25645
159	6396	25587
160	6433	25534
161	6469	25478
162	6502	25410
163	6540	25362
164	6574	25300
165	6609	25242
166	6657	25234
167	6694	25182
168	6732	25137
169	6776	25112
170	6814	25067
171	6850	25011
172	6887	24963
173	6925	24915
174	6968	24886
175	7005	24837
176	7039	24778
177	7078	24734
178	7120	24703
179	7157	24652
180	7198	24619
181	7236	24573
182	7272	24520
183	7311	24478
184	7354	24447
185	7386	24383
186	7425	24341
187	7465	24302
188	7503	24257
189	7543	24217
190	7582	24176
191	7625	24148
192	7657	24084
193	7697	24045
194	7739	24011
195	7779	23972
196	7816	23925
197	7849	23865
198	7888	23824
199	7926	23778
200	7965	23739
201	8005	23699
202	8037	23636
203	8078	23603
204	8123	23577
205	8169	23556
206	8203	23500
207	8249	23479
208	8289	23441
209	8326	23393
210	8369	23364
211	8402	23304
212	8441	23262
213	8487	23240
214	8526	23200
215	8561	23148
216	8609	23130
217	8648	23089
218	8684	23038
219	8724	23001
220	8768	22972
221	8807	22930
222	8847	22891
223	8885	22847
224	8922	22803
225	8966	22772
226	9005	22732
227	9039	22677
228	9081	22643
229	9127	22620
230	9169	22585
231	9212	22554
232	9246	22501
233	9283	22454
234	9315	22397
235	9358	22364
236	9395	22319
237	9432	22272
238	9475	22241
239	9519	22211
240	9558	22171
241	9603	22142
242	9646	22111
243	9686	22073
244	9723	22026
245	9761	21982
246	9797	21936
247	9832	21885
248	9874	21851
249	9911	21805
250	9958	21781
251	10003	21754
252	10035	21696
253	10073	21654
254	10113	21615
255	10151	21571
256	10186	21522
257	10227	21485
258	10253	21418
259	10289	21370
260	10331	21336
261	10368	21291
262	10415	21267
263	10451	21220
264	10499	21196
265	10539	21157
266	10579	21118
267	10621	21083
268	10663	21049
269	10699	21002
270	10739	20963
271	10778	20922
272	10804	20857
273	10844	20817
274	10886	20783
275	10930	20751
276	10968	20709
277	11005	20664
278	11035	20606
279	11073	20565
280	11113	20526
281	11153	20486
282	11198	20458
283	11234	20412
284	11274	20373
285	11316	20337
286	11356	20298
287	11398	20263
288	11438	20224
289	11475	20181
290	11519	20149
291	11563	20118
292	11596	20066
293	11635	20025
294	11676	19988
295	11716	19950
296	11750	19900
297	11790	19862
298	11827	19818
299	11866	19778
300	11909	19743
301	11947	19702
302	11982	19653
303	12028	19625
304	12073	19595
305	12110	19550
306	12153	19517
307	12188	19469
308	12236	19443
309	12275	19403
310	12324	19378
311	12376	19358
312	12419	19322
313	12461	19287
314	12500	19246
315	12548	19219
316	12596	19193
317	12642	19162
318	12693	19139
319	12734	19102
320	12775	19063
321	12811	19018
322	12853	18982
323	12894	18944
324	12935	18905
325	12976	18867
326	13022	18836
327	13087	18833
328	13135	18805
329	13182	18775
330	13231	18747
331	13275	18714
332	13327	18689
333	13365	18647
334	13399	18599
335	13437	18556
336	13481	18522
337	13518	18477
338	13553	18430
339	13591	18388
340	13627	18343
341	13663	18297
342	13700	18254
343	13734	18206
344	13770	18161
345	13804	18113
346	13843	18072
347	13877	18024
348	13915	17982
349	13948	17933
350	13987	17893
351	14027	17853
352	14063	17807
353	14103	17768
354	14148	17735
355	14185	17692
356	14218	17643
357	14259	17605
358	14298	17563
359	14330	17515
360	14366	17470
361	14402	17426
362	14443	17387
363	14488	17354
364	14533	17320
365	14572	17279
366	14612	17240
367	14653	17202
368	14698	17167
369	14737	17127
370	14775	17085
371	14812	17041
372	14857	17008
373	14902	16974
374	14944	16937
375	14984	16896
376	15024	16857
377	15060	16813
378	15097	16770
379	15137	16731
380	15179	16693
381	15225	16659
382	15263	16618
383	15305	16580
384	15343	16538
385	15384	16499
386	15416	16451
387	15452	16408
388	15489	16365
389	15528	16324
390	15572	16289
391	15610	16247
392	15653	16211
393	15687	16165
394	15724	16122
395	15769	16088
396	15802	16041
397	15840	15999
398	15884	15963
399	15923	15923
400	15956	15876
401	16007	15848
402	16045	15806
403	16082	15764
404	16119	15721
405	16157	15679
406	16192	15635
407	16232	15596
408	16270	15554
409	16303	15508
410	16327	15453
411	16365	15412
412	16402	15370
413	16440	15328
414	16472	15281
415	16514	15243
416	16553	15203
417	16590	15162
418	16626	15118
419	16662	15075
420	16705	15039
421	16745	14999
422	16790	14964
423	16835	14929
424	16878	14892
425	16918	14853
426	16960	14815
427	17005	14780
428	17051	14746
429	17091	14706
430	17126	14662
431	17161	14618
432	17207	14584
433	17251	14548
434	17290	14508
435	17337	14474
436	17376	14434
437	17415	14393
438	17458	14356
439	17502	14319
440	17541	14280
441	17580	14239
442	17620	14200
443	17666	14164
444	17703	14123
445	17743	14083
446	17785	14045
447	17826	14006
448	17860	13962
449	17898	13920
450	17934	13878
451	17975	13839
452	18010	13795
453	18053	13758
454	18089	13716
455	18131	13678
456	18177	13643
457	18214	13600
458	18257	13563
459	18298	13525
460	18340	13486
461	18378	13445
462	18425	13411
463	18462	13369
464	18499	13327
465	18540	13288
466	18569	13241
467	18610	13202
468	18646	13159
469	18689	13122
470	18731	13084
471	18772	13045
472	18817	13008
473	18851	12965
474	18886	12922
475	18929	12884
476	18970	12846
477	19013	12808
478	19051	12767
479	19089	12726
480	19126	12684
481	19168	12646
482	19211	12609
483	19248	12566
484	19287	12526
485	19325	12486
486	19360	12443
487	19397	12401
488	19426	12355
